שם הסוגיה,מספר חוקים
"הרחבת מלגות ממדים ללימודים למקצועות ארבע-שנתיים",1
"הרחבת מנגנון החוק הנורבגי לסיעות גדולות",1
"הרחבת מנגנון העיצומים הכספיים ואכיפה מינהלית בתעופה האזרחית",1
"הרחבת מסלול רישוי מהיר לתוכניות בסמכות הוועדה המקומית",1
"הרחבת מסלול רישוי מהיר לתוכניות מקומיות",1
"הרחבת מעגל בני המשפחה המוגדרים כאחראים על קטינים וחסרי ישע",1
"הרחבת מעגל בעלי הרישיון המורשים לייצוג בפני רשויות המס",1
"הרחבת מעגל הגורמים המוסמכים לאכיפת חוק צער בעלי חיים",1
"הרחבת מעגל הזכאים להליכי פונדקאות",1
"הרחבת מעגל הזכאים להסדרת מיזמים חקלאיים-תיירותיים",1
"הרחבת מעגל הזכאים לימי מחלה לטיפול בהורה לבני משפחה מדרגה שנייה ולאחים במקביל",1
"הרחבת מעגל הזכאים לפיצוי עונשי בנזיקין",1
"הרחבת מעגל המוטבים בהסתלקות יורש מזכותו בעיזבון",1
"הרחבת מעגל המורשים לביצוע פעולות רפואיות בבית החולה",1
"הרחבת מעגל המטפלים המורשים בביצוע פעולות רפואיות בבית המטופל",1
"הרחבת מעגל המתלוננים נגד מייצגי המדינה",1
"הרחבת מעגל העבודות המועדפות לחיילים משוחררים",1
"הרחבת מעגל מורשי הנהיגה בגמלת ניידות לפי מרחק מגורים באותה עיר",1
"הרחבת מעגל עבירות המין המזכות בסיוע משפטי",1
"הרחבת מעמד מבקר רשמי בבתי סוהר לכלל חברי הכנסת",1
"הרחבת מענק עבודה מועדפת למוסדות לאנשים עם מוגבלויות",1
"הרחבת מרחב ההתרחקות של עברייני מין מנפגעי עבירה",1
"הרחבת נסיבה מחמירה בזיקה לארגון פשיעה",1
"הרחבת נסיבה מחמירה לעבירות הקשורות לארגוני פשיעה",1
"הרחבת נסיבות מחמירות בעבירות שנאה למין וזהות מגדרית",1
"הרחבת סוגי התעודות המזהות לצורך קיום חובת נשיאה",1
"הרחבת סיוע בביטוח ואגרת רישיון רכב להורים שכולים",1
"הרחבת סיוע בביטוח רכב ואגרת רישיון להורים שכולים",1
"הרחבת סיוע הניידות לרכישת רכב משומש",1
"הרחבת סיוע משפטי לנפגעי עבירות מין לשלב החקירה ולהליכים אזרחיים",1
"הרחבת סייג הגיל לאחריות פלילית בעבירות מין כלפי קטינים",1
"הרחבת סכום החוב במסלול המקוצר",1
"הרחבת סל המחלות הקשות המזכות בהיעדרות מורחבת בשל מחלת בן זוג",1
"הרחבת סל רפואת שיניים לכלל האוכלוסייה",1
"הרחבת סמכויות אימות זהות ממוכן לגופים ביטחוניים",1
"הרחבת סמכויות גביית אגרות וקנסות למרכז לגביית קנסות",1
"הרחבת סמכויות הותמ""ל לתכנון בשטחים נוספים",1
"הרחבת סמכויות המרכז לגביית קנסות לגביית חובות רשות המים הארצית",1
"הרחבת סמכויות הנקיטה בהליכים במסלול מקוצר",1
"הרחבת סמכויות הפיקוח והצפייה במצלמות במעונות יום",1
"הרחבת סמכויות ועדה לתכניות מסחר ומגורים",1
"הרחבת סמכויות ועדות מקומיות בתוכניות בנייה למגורים בהיקף מוגבל",1
"הרחבת סמכויות ותפקידי הרשות לקידום שוויון מגדרי",1
"הרחבת סמכויות ותפקידי פקחים עירוניים מסייעים",1
"הרחבת סמכויות חילוט וכלים כלכליים בעבירות הסעה והלנה",1
"הרחבת סמכויות להגבלת ערוצי שידור זרים",1
"הרחבת סמכויות מאבטחים במרחב הציבורי",1
"הרחבת סמכויות מעבדות מאושרות למתן אישורים ותעודות בדיקה לתקנים בינלאומיים ואירופיים",1
"הרחבת סמכויות נציבות קבילות הסטודנטים",1
"הרחבת סמכויות נציבות קבילות סטודנטים",1
"הרחבת סמכויות פינוי נפלים לשטחים שאינם סגורים בצו",1
"הרחבת סמכויות פקחים ומסייעים למניעת עבירות במרחב הציבורי",1
"הרחבת סמכויות פקחים עירוניים לשמירה על הסדר הציבורי",1
"הרחבת סמכויות שיטור עירוני למרחב החקלאי",1
"הרחבת סמכות בית המשפט לפתיחת קברים בנסיבות חריגות",1
"הרחבת סמכות חברות מנהלות של קופות גמל להנפקת פוליסות חיסכון",1
"הרחבת סמכות ייצוג נישומים במיסוי מקרקעין לרואי חשבון ויועצי מס",1
"הרחבת סמכות מינוי קציני מבחן",1
"הרחבת סמכות מרשם לאחים ואחיות מומחים",1
"הרחבת סמכות ניהולית וצמצום עילות סכסוך עבודה",1
"הרחבת סמכות ניתוק מתשתיות לרשות לאכיפה במקרקעין",1
"הרחבת סמכות פיצוי נפגעי עבירה בפלילים",1
"הרחבת סמכות שינוי ייעוד לתעסוקה ולמסחר",1
"הרחבת עבירת האינוס והכללת גברים במסגרתה",1
"הרחבת עבירת ההטרדה המינית לפגיעה בפרטיות בעלת אופי מיני",1
"הרחבת עבירת ההסתה לגזענות",1
"הרחבת עבירת ההסתה לגזענות כלפי קבוצות נוספות",1
"הרחבת עבירת ההסתה לגזענות לאוכלוסייה החרדית",1
"הרחבת עבירת ההסתה לטרור",1
"הרחבת עבירת ההסתה לטרור והסרת דרישת ההסתברות",1
"הרחבת עבירת ההסתה למעשה של מבצע עבירת טרור חמורה",1
"הרחבת עבירת הזדהות עם ארגון טרור",1
"הרחבת עבירת סחר בבני אדם למטרת נישואין",1
"הרחבת עבירת סחר בבני אדם למטרת נישואין בניגוד לרצון",1
"הרחבת עילות איסור הפליה למוצא עדתי",1
"הרחבת עילות איסור לשון הרע להשתייכות חברתית",1
"הרחבת עילות ועדה להפסקת היריון בשלב השני",1
"הרחבת עילות לשון הרע בגין השתייכות חברתית",1
"הרחבת עילת המסוכנות בבחינת מעצרים לפגיעה בבעלי חיים",1
"הרחבת פטור ממס הכנסה לנכים ושיעורו",1
"הרחבת פעילות המרכז למורשת הדרוזים",1
"הרחבת קדימות בתור לבני זוג של לוחמים במצב חירום",1
"הרחבת קריטריון אוכלוסייה ליישובים מוטבי מס",1
"הרחבת קריטריונים להגדרת לקוח כשיר",1
"הרחבת רשימת המיטלטלין המוגנים מעיקול (מחשבים וטלפונים ניידים)",1
"הרחבת רשימת העבודות המועדפות לחיילים משחררים",1
"הרחבת רשימת הפרות הבטיחות באחריות מזמין שירות",1
"הרחבת שעות חינוך גופני במוסדות חינוך",1
"הרחבת תגמול מיוחד למשרתי מילואים שאינם מפקדים",1
"הרחבת תגמולים והטבות ליתומים בוגרים של חללי צבא ההגנה לישראל",1
"הרחבת תחולת הגנת פיטורים לעובדות חדשות",1
"הרחבת תחולת הקלות תכנוניות על אגודות שיתופיות",1
"הרחבת תחולת הרגולציה על בנקים גדולים",1
"הרחבת תחולת ועדות קבלה ביישובים קהילתיים",1
"הרחבת תחולת ועדות קבלה ומכסת בתי אב ביישובים קהילתיים",1
"הרחבת תחולת צווי גירוש מברית משפחתית למעודדי טרור אינדיבידואלים",1
"הרחבת תחולת שחרור בערבות לחיילים בשירות סדיר ומילואים",1
"הרחבת תחום שיפוט מוניציפלי ויצירת עיריות בת",1
"הרחבת תנאי עדות מיוחדים לקטינים בני 14 עד 15",1
"הרחבת תפקידי וסמכויות הרשות לפיתוח הנגב",1
"הרחבת תקופת ההגנה מפני פיטורים למשרתי מילואים",1
"הרחבת תקצוב מוסדות הנצחה ממלכתיים",1
"הרחבת תקרת האוכלוסייה ליישוב מוטב",1
"הרכב בית הדין למשמעת לעובדי המדינה",1
"הרכב בתי המשפט לדון בהוצאת קטין ממשמורת",1
"הרכב האסיפה הבוחרת את הרבנים הראשיים",1
"הרכב האסיפה הבוחרת את הרבנים הראשיים וייצוג ציבורי",1
"הרכב האספה הבוחרת רבני ערים",1
"הרכב הדירקטוריון בחברות ללא בעל שליטה",1
"הרכב הוועדה המייעצת לנציבות שוויון ההזדמנויות בעבודה",1
"הרכב הוועדה לבחירת היועץ המשפטי לכנסת",1
"הרכב הוועדה לבחירת שופטים וייצוג גורמים בוועדה",1
"הרכב הוועדה לבחירת שופטים ונציגות עורכי הדין",1
"הרכב הוועדה למינוי דיינים ומעמד לשכת עורכי הדין",1
"הרכב הוועדה לפיקוח על מחירים",1
"הרכב הוועדות הפסיכיאטריות ותנאי כשירות חבריהן",1
"הרכב המועצה הארצית לתכנון ולבנייה",1
"הרכב המועצה להסדר הימורים בספורט ומינוי חבריה",1
"הרכב המועצה להשכלה גבוהה וזיקתה לממשלה ולכנסת",1
"הרכב המועצה לניסויים בבעלי חיים וזהות היושב ראש",1
"הרכב המנהלה להשקעות הון בחקלאות ומניעת ניגוד עניינים",1
"הרכב השופטים בביקורת שיפוטית על מעצר מנהלי של אזרחים",1
"הרכב השופטים בדיוני בג״ץ וערעורים מינהליים",1
"הרכב והליך מינוי שופטי בית המשפט לחוקה",1
"הרכב ומספר השופטים בבית המשפט העליון",1
"הרכב וסמכויות הוועדה המייעצת לנציבות שוויון ההזדמנויות בעבודה",1
"הרכב וסמכויות ועדות מכרזים ברשויות מקומיות",1
"הרכב ועדה לבדיקת מינויים בחברות ממשלתיות",1
"הרכב ועדה לבחירת שופטים ודיינים",1
"הרכב ועדה ציבורית לקביעת שכר",1
"הרכב ועדות משמעת ותלונות בענייני פסיכולוגים",1
"הרכב ועדת הבחירה לשופטים משפטאים-צבאיים",1
"הרכב ועדת משנה להתחדשות עירונית",1
"הרכב מגדרי של ועדות שיום עירוניות",1
"הרכב מועצות מרכזי הנצחה וסדרי עבודתן",1
"הרכב מועצת איגוד ערים כנרת",1
"הרכב מועצת הספריות הציבוריות וכללי מינוי",1
"הרכב מועצת הרשות המטרופולינית ושיטת המשקל וההצבעה בה",1
"הרכב נציגי השופטים בוועדה לבחירת שופטים",1
"הרכב ערכאות הערעור ובדיקת אחוזי נכות בבתי הדין לעבודה",1
"השבת זכויות במקרקעין ופיצוי ביהודה ושומרון",1
"השבת זכויות מקרקעין היסטוריות ביהודה והשומרון",1
"השבת נכסי נפקדים למי שקיבל אזרחות ישראלית",1
"השבת עודפי גביית ארנונה לתושבים",1
"השבת רווחים עודפים בביטוח רכב למבוטחים",1
"השבתת מעליות עקב ליקויי בטיחות",1
"השהיית הגבלת חשבון בנק במצב חירום בריאותי",1
"השהיית הליכי גבייה לפני חגים ומועדים",1
"השהיית הליכי הוצאה לפועל והקפאת ריבית פיגורים לשוהות במקלטים לנשים מוכות",1
"השהיית הליכי הוצאה לפועל לאסירים משוחררים",1
"השהיית רישיון נוטריון ופטור מאגרות",1
"השוואת הטבות המס בחקלאות להטבות בתעשייה",1
"השוואת הטבות המס והמענקים בחקלאות להטבות בתעשייה",1
"השוואת זכויות אחים שכולים נפגעי פעולות איבה לחללי מערכה",1
"השוואת זכויות אלמן ואלמנה לגמלת שאירים",1
"השוואת זכויות אלמנים ואלמנות בביטוח שאירים",1
"השוואת זכויות והטבות לסטודנטים ישראלים הלומדים בחוץ לארץ",1
"השוואת זכויות והפקדות סוציאליות של עצמאים לשכירים",1
"השוואת זכויות ותגמולים לשורדי שואה לפי מועד עלייה",1
"השוואת זכויות מלאה של ידועים בציבור לבני זוג נשואים",1
"השוואת זכויות משפחות לוחמי אש שנספו למשפחות חללים",1
"השוואת זכויות נכים ונספים לוחמי אש לחיילים ושוטרים",1
"השוואת זכויות נפגעי הפרעה חבלתית-בתר לנכים בעלי נכות מיוחדת",1
"השוואת זכויות סוציאליות ודמי אבטלה לעצמאים",1
"השוואת זכויות סוציאליות של עצמאים לשכירים",1
"השוואת מעמד וזכויות ידועים בציבור לבני זוג נשואים",1
"השוואת מעמד ידועים בציבור לבני זוג נשואים בדיני מס הכנסה",1
"השוואת מעמד עצמאים לשכירים בזכויות סוציאליות ובמס",1
"השוואת משך השירות ותנאי השירות של נשים וגברים בצהל",1
"השוואת סיוע ממשלתי לסטודנטים ולתלמידי ישיבות",1
"השוואת ססיוע ממשלתי לסטודנטים לסיוע לתלמידי ישיבות",1
"השוואת קצבת שאירים לאלמנים ולאלמנות בקרנות פנסיה ותיקות",1
"השוואת שיעורי מס הכנסה ומענקים בחקלאות לתעשייה",1
"השוואת שעות סיעוד למעסיקי עובדים זרים",1
"השוואת תגמולי כבאים ועובדי כיבוי לתגמולי שוטרים",1
"השוואת תנאי זכאות לגמלת שאירים לאלמנים ולרבות ביטול מבחני הכנסת ותלות בילדים",1
"השוואת תנאי זכאות לקצבת שאירים לאלמנים ולאלמנות",1
"השוואת תנאי חיסכון והפקדות סוציאליות לעצמאים לאלו של שכירים",1
"השוואת תנאי מענק עבודה להורים",1
"השוואת תנאי ניכוי מס בחיסכון ארוך טווח לעצמאים",1
"השוואת תנאי שכר לעובדי קבלן המועסקים דרך קבע",1
"השוואת תנאי שכר של עובדי קבלן המועסקים דרך קבע",1
"השוואת תנאי שכר של עובדי קבלן לעובדי המזמין",1
"השוואת תשלומים לחיילים בודדים",1
"השלמת קצבת אזרח ותיק לזכאי קצבת נכות לשכר המינימום",1
"השלמת קצבת אזרח ותיק לשכר המינימום לנכים",1
"השלמת תגמול מילואים עקב שינוי שכר",1
"השעיה ופיטורין של עובדי הוראה בהליך פלילי",1
"השעיה ופיטורין של שוטרים החשודים או מורשעים בעבירות אלימות",1
"השעיה זמנית של עורכי דין טרם הרשעה משמעתית",1
"השעיה מיידית של אנשי מקצוע בריאות שהורשעו בעבירות מין",1
"השעיה מיידית של פסיכולוג שהורשע בעבירת מין",1
"השעיית אכיפה מינהלית ביישובי מיעוטים חסרי תוכנית",1
"השעיית הסדרי שהייה ומעמד במצב לחימה",1
"השעיית חבר כנסת בשל הגשת כתב אישום",1
"השעיית עובדי מדינה ורשויות מקומיות בהליך פלילי",1
"השפעת אלימות במשפחה על הסדרי שהות ואפוטרופסות",1
"השפעת הבוחר על סדר רשימת המועמדים לכנסת",1
"השפעת שחרור מוקדם על שיקום נפגע עבירה",1
"השקעת הפיקדון הצבאי בחסכון ארוך טווח",1
"השקעת נכסי קרן העושר הריבונית בישראל",1
"השקעת נכסי קרן עושר ריבונית במשק המקומי",1
"השתחררות מעסקאות פינוי ובינוי כפולות",1
"השתלבות מקבלי קצבת נכות בתעסוקה ומבחני הכנסה",1
"השתלמויות מקצועיות לחברי מועצה",1
"השתלמויות נגישות לנהגי תחבורה ציבורית",1
"השתלמויות נהגי תחבורה ציבורית בנושאי נגישות ושירות",1
"השתלמות שנתית לנהגי תחבורה ציבורית בנושאי נגישות ושירות",1
"השתתפות בהוצאות תחזוקה בבית משותף מחודש",1
"השתתפות בעלות מעון יום בתקופת הלידה וההורות",1
"השתתפות בעלות מעון יום בתקופת לידה והורות",1
"השתתפות המדינה בהוצאות שכר לעובדים בתקופת חירום",1
"השתתפות המדינה בהסדרי ביטוח לנכים",1
"השתתפות המדינה בעלויות מעסיק לקופות וקרנות בזמן מילואים",1
"השתתפות המדינה בעלויות פנסיה וקופות למהסיקים של משרתי מילואים",1
"השתתפות חברות ביטוח בעלויות ניתוחים בשב""ן",1
"השתתפות חברות ביטוח פרטיות בעלויות ניתוחים המבוצעים במסגרת שב״ן",1
"השתתפות מוגדלת בשכר לימוד למשרתי מילואים בהתאם למשך השירות",1
"השתתפות ממשלתית מדורגת בעלות שכר מנהלי יחידות ספורט",1
"השתתפות עצמית בבתי מרקחת שאינם בהסדר",1
"השתתפות עצמית ברכישת תרופות בבתי מרקחת שאינם בהסדר",1
"התאמות אקדמיות לסטודנטיות לאחר לידה",1
"התאמות אקדמיות לסטודנטים משרתי מילואים",1
"התאמות אקלימיות בדיור ציבורי ובאוכלוסיות מוחלשות",1
"התאמות בחקيرة והעדה למתמודדי נפש",1
"התאמות והקלות בבחינות רישוי מקצועיות לחיילי מילואים",1
"התאמות ומימון שכר לימוד לסטודנטים משרתי מילואים",1
"התאמות לחקירת מתמודדי נפש",1
"התאמות נגישות במוסדות השכלה תורניים",1
"התאמות תנאי העסקה לעובדי מדינה תושבי פריפריה",1
"התאמת דלתות כניסה בבתים משותפים לשומרי שבת",1
"התאמת הודעות דיגיטליות ומתן חלופות טכנולוגיות",1
"התאמת היקף חופי רחצה נפרדים לדרישת הקהל",1
"התאמת היקף מתקני הרחצה הנפרדת לסקר מתרחצים",1
"התאמת הליכי הכרה ומיצוי זכויות לאסירי ציון יוצאי אתיופיה",1
"התאמת הליכי חקירה למתמודדי נפש",1
"התאמת המונחים בפקודת מס הכנסה למדד החברתי-כלכלי",1
"התאמת זכויות לידה והורות לזוגות בני אותו המין ולהורים מיועדים",1
"התאמת זכויות סוציאליות לעובדים זרים",1
"התאמת חובת ההסברה והשמיעה של חוסים",1
"התאמת ימי היעדרות בשל מחלת ילד למספר הילדים במשפחה",1
"התאמת לוח השנה האקדמי וחובת היערכות לחגים של כלל העדות",1
"התאמת לוח השנה האקדמי לחגים של סטודנטים בני המיעוט הערבי",1
"התאמת לוח השנה האקדמי לחגים של סטודנטים ערבים",1
"התאמת לוח השנים האקדמי לחגים של סטודנטים ערבים",1
"התאמת מאפייני דת ואורח חיים בהליכי הוצאת קטין ומינוי אפוטרופוס",1
"התאמת מבחן הכנסה למקבלי הבטחת תשלום מזונות",1
"התאמת משך ביקורי משפחה בכלא למספר הנפשות במשפחה",1
"התאמת סוגי המזון בטיסות לצורכי הנוסע",1
"התאמת קיזוז הכנסות שאינן מעבודה מקצבת נכות",1
"התאמת קצבת סיעוד לשכר המינימום",1
"התאמת שירותי שיקום לנכים מהציבור הדתי והחרדי",1
"התאמת שעות העבודה והמנוחה בשבוע עבודה בן חמישה ימים",1
"התאמת תנאי כשירות מקצועית ורישוי למצב בריאותי ונפשי",1
"התאמת תקצוב מוסדות חינוך לשיעור גיוס בוגריהם",1
"התחייבות עובדים זרים להימנע מבקשת אזרחות",1
"התחשבות במספר בני משפחה בקביעת משך ביקור אסיר",1
"התחשבות בעלויות פליטת פחמן במיסוי דלק",1
"התייחסות לדמי אבטלה כהכנסה לעניין קצבאות וגמלאות",1
"התיישנות בעבירות מין במסגרת יחסי תלות או מרות",1
"התיישנות בעבירות מין בקטינים ובנסיבות מחמירות",1
"התיישנות בעבירות מין כלפי קטינים ובנסיבות מחמירות",1
"התיישנות בעבירות מין נגד קטינים ובנסיבות מחמירות",1
"התיישנות בתביעות בגין תקיפה מינית או התעללות במשפחה",1
"התיישנות בתביעות פיצויים נגד מתגמלי טרור",1
"התיישנות דין משמעתי לעבירת הטרדה מינית",1
"התיישנות עבירות מין ביחסי תלות או מרות",1
"התיישנות עבירות מין בין בני זוג",1
"התיישנות עבירות משמעת בהטרדה מינית",1
"התיישנות עבירות פליליות לעובדי מערכת אכיפת החוק",1
"התיישנות עבירת הטרדה מינית בדין משמעתי לשוטרים",1
"התיישנות תביעות אזרחיות במצב חירום",1
"התיישנות תביעות אזרחיות בעקבות הליך פלילי",1
"התיישנות תביעות אזרחיות המבוססות על הליך פלילי",1
"התיישנות תביעות ליקויי שמיעה בעבודה",1
"התליית רישיונות והיתרי עיסוק למעסיקים ומסיעים של שוהים שלא כדין",1
"התמודדות עובדי משרות אמון במכרזים ברשויות מקומיות",1
"התמודדות עם הסתה נגד חיילים חרדים",1
"התמחות שיפוטית בעבירות אלימות בספורט",1
"התנאת הסיוע הכלכלי ללומדי תורה בשירות ביטחון",1
"התנאת העברת כספי מיסים לרשות הפלסטינית",1
"התנאת זיכויים והטבות במס הכנסה בשירות צבאי או אזרחי",1
"התנאת זכאות להטבות וסבסוד ברכישת דירה בשירות צבאי או אזרחי",1
"התנאת סבסוד ממשלתי למוסדות לימוד תיכוניים-על בשירות",1
"התנדבות חברי כנסת לשירות מילואים",1
"התנדבות לשירות מילואים במשמר הגבול",1
"התנהלות תיק הוצאה לפועל מקוצר בעת איחוד תיקים",1
"התניית אזרחות לצאצאי ישראלים בחוץ לארץ בהצהרת רצון",1
"התניית אישור עסקת מקרקעין במסירת אסמכתאות תשלום מראש",1
"התניית הטבות לנושאי משרה לשעבר בשהייה בישראל",1
"התניית הטבות מדינה בשירות צבאי או אזרחי",1
"התניית הטבות מדינה וסבסוד לימודים בשירות צבאי או לאומי",1
"התניית הטבות ממשלתיות לתעשייה בעמידה בתקנים סביבתיים",1
"התניית הטבות מס למוסד ציבורי בהיياب מוחלט מהפליה",1
"התניית הטבות סוציאליות במילוי חובת שירות ביטחון",1
"התניית היתרי בניה לחיזוק מבנים בדרישות חניה",1
"התניית היתרי בנייה לחיזוק מבנים בבניית מרחבים מוגנים",1
"התניית היתרי בנייה לחיזוק מבנים בהתקנת חניות",1
"התניית הכרה במוסד חינוך לא רשמי בלימוד מגילת העצמאות",1
"התניית העברת כספי מיסים לרשות הפלסטינית בעמידה בתנאי ביטחון ומאבק בטרור",1
"התניית העדפה מתקנת בשירות צבאי או לאומי",1
"התניית הפניות לעבודה בנגישות תחבורה ציבורית",1
"התניית זכאות להטבות בדיור בקיום שירות צבאי או ביטחוני",1
"התניית זכאות עולים חדשים לדרכון ישראלי בהשתקעות",1
"התניית זכות ההצבעה בשירות צבאי או לאומי",1
"התניית סבסוד והטבות בדיור בשירות צבאי או לאומי",1
"התניית סבסוד והנחות ברכישת דירה בשירות ומתן עדיפות ללוחמים",1
"התניית סבסוד לימודים בשירות צבאי",1
"התניית סבסוד לימודים ממשלתי בשירות",1
"התניית סבסוד לימודים על-תיכוניים בשירות",1
"התניית סבסוד מעונות יום בהיקף תעסוקה של ההורים",1
"התניית סיוע הומניטרי בשחרור חטופים",1
"התניית סיוע כלכלי בלומדי תורה במילוי חובת שירות ביטחון",1
"התניית קצבאות וגימלאות בהחזקת רכב פרטי",1
"התניית קצבת ילדים בשירות צבאי או אזרחי",1
"התניית קצבת ילדים בשירות צבאי או לאומי",1
"התניית רישיון עסק באיסור הפליה",1
"התניית שחרור ממאסר בטיפול תרופתי כפוי לעברייני מין",1
"התניית שכר יום שבתון בהצבעה בבחירות",1
"התניית שכר יום שבתון בהשתתפות בבחירות",1
"התניית תוספות שכר בהחזקת רכב במגזר הציבורי",1
"התניית תוספות שכר והחזרי הוצאות בהחזקת רכב פרטי במגזר הציבורי",1
"התניית תקנות העברת מידע מהמאגר הביומטרי לרשויות הביטחון בהתקנת תקנות ניהול",1
"התניית תקצוב מוסדות אקדמיים בשירות",1
"התניית תקצוב מוסדות אקדמיים בשירות סטודנטים",1
"התניית תקצוב מוסדות חינוך בשיעור גיוס הבוגרים",1
"התניית תקצוב מוסדות חינוך פטורים בלימודי ליבה",1
"התניית תקצוב מוסדות להשכלה גבוהה בהנפת דגל המדינה",1
"התעלמות מהכנסה מעבודה במבחן הכנסה לקצבת מזונות",1
"התעלמות מהכנסות שאינן מעבודה בחישוב קצבת נכות",1
"התעמרות עובדי ציבור בפונים",1
"התערבות הכנסת ונגנון בוררות בשביתות",1
"התערבות שיפוטית בהסכמי ממון בשל אי-הוגנות חריגה",1
"התפזרות הכנסת ועריכת בחירות מוקדמות",1
"התפזרות הכנסת וקיום בחירות מוקדמות",1
"התקן בטיחות לדלת מרחב מוגן דירתי",1
"התקנת לחצני מצוקה באוטובוסים",1
"התקנת מנגנון שבת ברכוש משותף ללא הסכמת השכנים",1
"התקנת מערכות סולאריות בבתים משותפים במסגרת פינוי ובינוי",1
"התקנת מצלמות במוסדות חינוך מיוחד",1
"התקנת מתקני חובב רדיו ברכוש משותף בבית משותף",1
"התקנת עמדות טעינה לרכב חשמלי בבית משותף",1
"התקנת עמדת טעינה לרכב חשמלי בחניה משותפת בבית משותף",1
"התקנת עמדת טעינה לרכב חשמלי בחניה צמודה בבית משותף",1
"התקשרות בפטור או במכרז סגור להפעלת מזנונים עם נכי צה״ל",1
"התראה על היעדר יתרה והגבלת עמלות בהרשאה לחיוב",1
"התראת שקיפות מחירים בשיחות לחוץ לארץ ללקוחות מזדמנים",1
"התרת הוצאות בגין מעונות יום לפעוטות",1
"התרת החזקה ושימוש עצמי בקנאביס",1
"התרת החזקת מקרקעין בהקמה לקרנות השקעה בנדל""ן מניב",1
"התרת היעדרות מחלה על בסיס הצהרה עצמית ללא אישור רפואי",1
"התרת הפעלת חופים נפרדים בכל ימות השבוע ברשויות זכאיות",1
"התרת הקמת בתים מאזנים בייעוד מגורים והגדלת מספר הדיירים",1
"התרת הרכב ועדת המכרזים המקומית וסמכויותיה",1
"התרת התאמות בעדות קטינים בני 14 עד 15",1
"התרת התאמות וזכויות היעדרות גם לבני משפחה מטפלים של חולי מחלה קשה",1
"התרת ועדת מכרזים עירונית",1
"התרת זכאות לארוחה יומית לכלל התלמידים",1
"התרת זכאות לגמלת ניידות לחולי מחלות כרוניות ללא פגיעה בגפיים",1
"התרת זכאות להטבות נלוות למקבלי מענק עבודה",1
"התרת זכאות לחינוך חינם לילדים בחלופות אשפוז",1
"התרת זכויות והטבות לסטודנטים ישראלים הלומדים בחוץ לארץ",1
"התרת זכויות פדויי שבי לחטופים ששוחררו טרם 7 באוקטובר",1
"התרת זכויות שיקום והטבות לאחים שכולים",1
"התרת מכירת אלכוהול בשעות הלילה בחנויות גדולות במסגרת קנייה רחבה",1
"התרת ניכוי או זיכוי ממס עבור הוצאות מעונות יום לאמהות עובדות",1
"התרת ניכוי הוצאות בגין טיפול בילדים לצורכי מס הכנסה",1
"התרת ניכוי הוצאות בית לעצמאים",1
"התרת ניכוי הוצאות הנפקה לכלל החברות והשותפויות",1
"התרת ניכוי הוצאות הנפקה לכלל החברות והשותפויות בבורסה",1
"התרת ניכוי הוצאות טיפול בילד לצרכי מס",1
"התרת ניכוי הוצאות טיפול בילדים לצורכי מס הכנסה",1
"התרת ניכוי הוצאות מעון יום לצרכי מס הכנסה",1
"התרת ניכוי מס עבור ביטוח בריאות לעצמאים",1
"התרת ניכויים בשל הפקדות סוציאליות לעצמאים",1
"התרת פיקוח ממשלתי על מסגרות לגיל הרך",1
"התרת רכישת מניות כהוצאה לצרכי מס לחברות טכנולוגיה",1
"התרת תיקון רכבים בשטחי הרשות הפלסטינית",1
"התרת תנאי סף לקבלת מענק לימודים",1
"ודאות משפטית לגבי מעורבות שותף מוגבל בניהול",1
"ודאות תקציבית למועצה הישראלית לצרכנות",1
"ויתור על אזרחות ישראלית לתושבי חוץ",1
"ועדת חריגים להכרה בחללי צבא ובמשפחותיהם",1
"ועדת חריגים לזכאות קבורה צבאית",1
"ועדת מינויים דירקטוריון",1
"זהות המעסיק של מנהלי בתי ספר",1
"זהות המקצוע של אפוטרופוס לדין לקטינים",1
"זהות וכפיפות חשב המשטרה",1
"זהות ושיטת מינוי יושב ראש ועדת הבחירות המרכזית",1
"זהות נשיא בית הדין הרבני הגדול",1
"זיכוי ממס בגין תרומות באזורי עדיפות לאומית",1
"זיכוי ממס בשל השקעה בחברות הזנק טכנולוגיות",1
"זיכוי ממס בשל השקעה במניות חברת מו""פ",1
"זיכוי ממס הכנסה למעסיקי אנשי מילואים",1
"זיכוי ממס ותמריץ למעסיקי אנשי מילואים",1
"זיכוי ממס ללוחמים והקלות מס למעסיקי מילואים",1
"זיכוי ממס על תרומת מזון עודף",1
"זיכוי מס מוגדל לתורמי מזון עודף",1
"זיכוי מס על תרומות לבתי חולים בפריפריה",1
"זכאויות ילד נכה בגין פגיעה בגפה אחת",1
"זכאויות כלכליות לסבים ולדודים המגדלים יתומים נפגעי איבה",1
"זכאות אב לתקופת לידה והורות במצב של הורה יחיד",1
"זכאות אב שהוא הורה יחיד לתקופת לידה והורות",1
"זכאות אבות שהם הורים יחידים לתקופת לידה והורות",1
"זכאות אומנים לגמלת ילד נכה והטבות נלוות",1
"זכאות אזרחים ותיקים לחניה חינם ברשות המקומית",1
"זכאות אזרחים ותיקים לסיוע משפטי בגין ניצול כלכלי",1
"זכאות אזרחים שאינם תושבים לתעודת זהות",1
"זכאות אחים וילדים בגירים למענק משפחות חטופים ונעדרים",1
"זכאות אלמנות אנשי קבע לגמלה לאחר נישואין מחדש",1
